,date,year,month,day,maxt
770,19030303,1903,3,3,19
771,19030403,1903,4,3,18
772,19030503,1903,5,3,25
773,19030603,1903,6,3,33
774,19030703,1903,7,3,31
775,19030803,1903,8,3,32
776,19030903,1903,9,3,27
777,19031003,1903,10,3,30
778,19031103,1903,11,3,23
779,19031203,1903,12,3,19
780,19030104,1903,1,4,16
781,19030204,1903,2,4,11
782,19030304,1903,3,4,20
783,19030404,1903,4,4,21
784,19030504,1903,5,4,25
785,19030604,1903,6,4,30
786,19030704,1903,7,4,31
787,19030804,1903,8,4,32
788,19030904,1903,9,4,27
789,19031004,1903,10,4,29
790,19031104,1903,11,4,26
791,19031204,1903,12,4,14
792,19030105,1903,1,5,14
793,19030205,1903,2,5,14
794,19030305,1903,3,5,23
795,19030405,1903,4,5,23
796,19030505,1903,5,5,24
797,19030605,1903,6,5,29
798,19030705,1903,7,5,32
799,19030805,1903,8,5,35
800,19030905,1903,9,5,29
801,19031005,1903,10,5,30
802,19031105,1903,11,5,26
803,19031205,1903,12,5,16
804,19030106,1903,1,6,14
805,19030206,1903,2,6,15
806,19030306,1903,3,6,19
807,19030406,1903,4,6,24
808,19030506,1903,5,6,26
809,19030606,1903,6,6,31
810,19030706,1903,7,6,33
811,19030806,1903,8,6,34
812,19030906,1903,9,6,27
813,19031006,1903,10,6,30
814,19031106,1903,11,6,28
815,19031206,1903,12,6,17
816,19030107,1903,1,7,14
817,19030207,1903,2,7,17
818,19030307,1903,3,7,19
819,19030407,1903,4,7,23
820,19030507,1903,5,7,29
821,19030607,1903,6,7,31
822,19030707,1903,7,7,32
823,19030807,1903,8,7,31
824,19030907,1903,9,7,27
825,19031007,1903,10,7,28
826,19031107,1903,11,7,27
827,19031207,1903,12,7,18
828,19030108,1903,1,8,16
829,19030208,1903,2,8,14
830,19030308,1903,3,8,19
831,19030408,1903,4,8,25
832,19030508,1903,5,8,24
833,19030608,1903,6,8,32
834,19030708,1903,7,8,32
835,19030808,1903,8,8,29
836,19030908,1903,9,8,28
837,19031008,1903,10,8,28
838,19031108,1903,11,8,24
839,19031208,1903,12,8,20
840,19030109,1903,1,9,16
841,19030209,1903,2,9,14
842,19030309,1903,3,9,21
843,19030409,1903,4,9,26
844,19030509,1903,5,9,26
845,19030609,1903,6,9,31
846,19030709,1903,7,9,29
847,19030809,1903,8,9,28
848,19030909,1903,9,9,26
849,19031009,1903,10,9,27
850,19031109,1903,11,9,24
851,19031209,1903,12,9,21
852,19030110,1903,1,10,11
853,19030210,1903,2,10,17
854,19030310,1903,3,10,24
855,19030410,1903,4,10,26
856,19030510,1903,5,10,26
857,19030610,1903,6,10,31
858,19030710,1903,7,10,29
859,19030810,1903,8,10,29
860,19030910,1903,9,10,28
861,19031010,1903,10,10,28
862,19031110,1903,11,10,23
863,19031210,1903,12,10,21
864,19030111,1903,1,11,10
865,19030211,1903,2,11,19
866,19030311,1903,3,11,25
867,19030411,1903,4,11,28
868,19030511,1903,5,11,25
869,19030611,1903,6,11,31
870,19030711,1903,7,11,29
871,19030811,1903,8,11,31
872,19030911,1903,9,11,26
873,19031011,1903,10,11,28
874,19031111,1903,11,11,24
875,19031211,1903,12,11,20
876,19030112,1903,1,12,12
877,19030212,1903,2,12,20
878,19030312,1903,3,12,22
879,19030412,1903,4,12,22
880,19030512,1903,5,12,28
881,19030612,1903,6,12,31
882,19030712,1903,7,12,30
883,19030812,1903,8,12,32
884,19030912,1903,9,12,26
885,19031012,1903,10,12,30
886,19031112,1903,11,12,21
887,19031212,1903,12,12,20
888,19030113,1903,1,13,15
889,19030213,1903,2,13,14
890,19030313,1903,3,13,24
891,19030413,1903,4,13,23
892,19030513,1903,5,13,27
893,19030613,1903,6,13,31
894,19030713,1903,7,13,30
895,19030813,1903,8,13,31
896,19030913,1903,9,13,28
897,19031013,1903,10,13,27
898,19031113,1903,11,13,22
899,19031213,1903,12,13,21
900,19030114,1903,1,14,12
901,19030214,1903,2,14,13
902,19030314,1903,3,14,25
903,19030414,1903,4,14,27
904,19030514,1903,5,14,28
905,19030614,1903,6,14,31
906,19030714,1903,7,14,29
907,19030814,1903,8,14,31
908,19030914,1903,9,14,30
909,19031014,1903,10,14,27
910,19031114,1903,11,14,24
911,19031214,1903,12,14,22
912,19030115,1903,1,15,14
913,19030215,1903,2,15,19
914,19030315,1903,3,15,24
915,19030415,1903,4,15,28
916,19030515,1903,5,15,25
917,19030615,1903,6,15,30
918,19030715,1903,7,15,32
919,19030815,1903,8,15,31
920,19030915,1903,9,15,31
921,19031015,1903,10,15,29
922,19031115,1903,11,15,24
923,19031215,1903,12,15,24
924,19030116,1903,1,16,14
925,19030216,1903,2,16,19
